日付 時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-21 日中,20130,20180,20080,20100,416586,8385677985
2017-06-20 夜間,20230,20235,20140,20145,265242,5356090760
2017-06-20 日中,20180,20290,20170,20200,398715,8070301283
2017-06-19 夜間,20070,20140,20030,20130,225716,4531754865
2017-06-19 日中,19920,20050,19905,20025,309149,6184389085
2017-06-16 夜間,19950,19975,19855,19920,310149,6177067810
2017-06-16 日中,19875,19980,19855,19930,458146,9122942655
2017-06-15 夜間,19755,19885,19705,19885,423252,8365424265
2017-06-15 日中,19785,19935,19715,19810,486466,9637187295
2017-06-14 夜間,19905,19940,19710,19840,495834,9833268355
2017-06-14 日中,19935,19975,19850,19875,318062,6331328250
2017-06-13 夜間,19905,19930,19860,19920,202909,4037614100
2017-06-13 日中,19820,19895,19800,19885,294708,5852580199
2017-06-12 夜間,19865,19870,19750,19815,367810,7281822330
2017-06-12 日中,19900,19920,19800,19860,377986,7510481177
2017-06-09 夜間,20000,20060,19820,19900,422556,8439589180
2017-06-09 日中,19970,20070,19890,19950,465052,9292451235
2017-06-08 夜間,19940,20040,19925,20005,403796,8072617065
2017-06-08 日中,19975,20030,19860,19930,359996,7179849030
2017-06-07 夜間,19880,19970,19875,19970,98532,1963402195
2017-06-07 日中,19900,19990,19875,19920,114614,2283354555
2017-06-06 夜間,19935,19965,19855,19905,56207,1118819710
2017-06-06 日中,20095,20125,19910,19930,86475,1730854104
2017-06-05 夜間,20105,20135,20090,20100,25592,514614405
2017-06-05 日中,20070,20190,20060,20110,61722,1242660526
2017-06-02 夜間,20165,20200,20030,20105,43226,869268743
2017-06-02 日中,19900,20210,19890,20135,60379,1213040360
2017-06-01 夜間,19825,19910,19820,19880,25460,505807880
2017-06-01 日中,19635,19850,19630,19825,33439,661480525
2017-05-31 夜間,19635,19675,19560,19640,16277,319424920
2017-05-31 日中,19590,19645,19550,19625,15387,301660210
2017-05-30 夜間,19595,19650,19585,19590,9775,191784405
2017-05-30 日中,19655,19665,19535,19640,13596,266485420
2017-05-29 夜間,19650,19655,19635,19655,2516,49428935
2017-05-29 日中,19665,19700,19590,19650,9389,184584905
2017-05-26 夜間,19650,19680,19555,19680,12042,236214155
2017-05-26 日中,19750,19765,19645,19670,11281,222332555
2017-05-25 夜間,19775,19815,19720,19770,11383,225011760
2017-05-25 日中,19685,19815,19680,19770,12714,251336533
2017-05-24 夜間,19700,19730,19650,19685,7382,145426900
2017-05-24 日中,19750,19755,19655,19700,10232,201575970
2017-05-23 夜間,19615,19750,19605,19745,9353,183959130
2017-05-23 日中,19595,19655,19545,19605,6228,122098630
2017-05-22 夜間,19625,19655,19585,19655,5191,101869380
2017-05-22 日中,19640,19685,19580,19635,4950,97167085
2017-05-19 夜間,19565,19710,19560,19655,9392,184423825
2017-05-19 日中,19545,19585,19455,19555,6518,127278445
2017-05-18 夜間,19490,19615,19245,19590,18716,363229473
2017-05-18 日中,19485,19570,19410,19530,11110,216453993
